case_id,case_title,case_text,case_category,case_type,jurisdiction,year
771,Business Dispute Matter 1723,"The claimant brought an action relating to the company. The matter relates to business dispute and involves business and payment. The relevant party challenged a partnership obligation. The pleadings state that the dispute developed over approximately 12 months and involved an amount or claim valued at 100000 monetary units. The parties relied on agreements, records, correspondence, and other evidence. The record included correspondence and other supporting material. The parties presented relevant documents for consideration. Variation 350.",Employment,Business Dispute,Civil Court,2022
2206,Property Dispute Matter 382,"The present case arises from a dispute involving residential property. The matter relates to property dispute and involves compensation and negligence. The relevant party alleged breach of agreement. The pleadings state that the dispute developed over approximately 18 months and involved an amount or claim valued at 100000 monetary units. The parties relied on agreements, records, correspondence, and other evidence. The parties presented documents and statements in support of their respective positions. The parties presented relevant documents for consideration. Variation 485.",Civil,Property Dispute,Sessions Court,2025
562,Salary Dispute Matter 2396,"The applicant submitted a petition regarding the employer. The matter relates to salary dispute and involves termination and employee. The relevant party challenged termination. The pleadings state that the dispute developed over approximately 6 months and involved an amount or claim valued at 50000 monetary units. The parties relied on agreements, records, correspondence, and other evidence. The dispute remained subject to judicial determination. The claim was examined in light of the facts stated in the pleadings. Variation 49.",Family,Salary Dispute,Sessions Court,2025
2166,Marriage Dispute Matter 1372,"The parties entered into proceedings concerning the parents. The matter relates to marriage dispute and involves family relationship and guardianship. The relevant party requested maintenance. The pleadings state that the dispute developed over approximately 36 months and involved an amount or claim valued at 25000 monetary units. The parties relied on agreements, records, correspondence, and other evidence. The pleadings set out the circumstances giving rise to the claim. Additional correspondence was considered as part of the dispute. Variation 197.",Family,Marriage Dispute,Family Court,2020
415,Property Dispute Matter 169,"The matter before the court concerns land parcel. The matter relates to property dispute and involves possession and property rights. The relevant party challenged ownership. The pleadings state that the dispute developed over approximately 12 months and involved an amount or claim valued at 50000 monetary units. The parties relied on agreements, records, correspondence, and other evidence. The pleadings set out the circumstances giving rise to the claim. The parties relied on supporting records during the proceedings. Variation 508.",Intellectual Property,Property Dispute,High Court,2021
1797,Dismissal Dispute Matter 2458,"The parties entered into proceedings concerning the worker. The matter relates to dismissal dispute and involves employment and workplace. The relevant party claimed unpaid salary. The pleadings state that the dispute developed over approximately 48 months and involved an amount or claim valued at 250000 monetary units. The parties relied on agreements, records, correspondence, and other evidence. The parties presented documents and statements in support of their respective positions. The claim was examined in light of the facts stated in the pleadings. Variation 74.",Employment,Dismissal Dispute,District Court,2024
641,Company Claim Matter 1731,"<p>The petitioner filed proceedings before the court concerning the company. The matter relates to company claim and involves business and contract. The relevant party disputed a business transaction. The pleadings state that the dispute developed over approximately 24 months and involved an amount or claim valued at 75000 monetary units. The parties relied on agreements, records, correspondence, and other evidence. The dispute remained subject to judicial determination. The parties relied on supporting records during the proceedings. Variation 388.</p>  !!! ### ",Commercial,Company Claim,Civil Court,2018
2926,Property Dispute Matter 21,"The claimant brought an action relating to loan agreement. The matter relates to property dispute and involves possession and breach. The relevant party requested possession. The pleadings state that the dispute developed over approximately 6 months and involved an amount or claim valued at 50000 monetary units. The parties relied on agreements, records, correspondence, and other evidence. The court was requested to consider the relevant facts and evidence. Additional correspondence was considered as part of the dispute. Variation 202.",Civil,Property Dispute,District Court,2018
1996,Assault Matter 816,"The present case arises from a dispute involving the investigating officer. The matter relates to assault and involves accused and prosecution. The relevant party faced criminal proceedings. The pleadings state that the dispute developed over approximately 48 months and involved an amount or claim valued at 100000 monetary units. The parties relied on agreements, records, correspondence, and other evidence. The record included correspondence and other supporting material. The parties presented relevant documents for consideration. Variation 405.",Criminal,Assault,Family Court,2023
2697,Patent Dispute Matter 2780,"The claimant brought an action relating to the company. The matter relates to patent dispute and involves intellectual property and rights holder. The relevant party challenged patent use. The pleadings state that the dispute developed over approximately 12 months and involved an amount or claim valued at 25000 monetary units. The parties relied on agreements, records, correspondence, and other evidence. The dispute remained subject to judicial determination. Additional correspondence was considered as part of the dispute. Variation 467.",Intellectual Property,Patent Dispute,Commercial Court,2018
2781,Negligence Claim Matter 341,"The parties entered into proceedings concerning residential property. The matter relates to negligence claim and involves possession and property rights. The relevant party requested possession. The pleadings state that the dispute developed over approximately 48 months and involved an amount or claim valued at 75000 monetary units. The parties relied on agreements, records, correspondence, and other evidence. The dispute remained subject to judicial determination. The parties relied on supporting records during the proceedings. Variation 203.",Civil,Negligence Claim,Sessions Court,2019
588,Partnership Dispute Matter 1946,"The present case arises from a dispute involving the respondent company. The matter relates to partnership dispute and involves contract and partnership. The relevant party claimed payment under a contract. The pleadings state that the dispute developed over approximately 36 months and involved an amount or claim valued at 50000 monetary units. The parties relied on agreements, records, correspondence, and other evidence. The dispute remained subject to judicial determination. Additional correspondence was considered as part of the dispute. Variation 47.",Commercial,Partnership Dispute,Civil Court,2022
2398,Employment Contract Matter 2223,"The present case arises from a dispute involving the claimant. The matter relates to employment contract and involves dismissal and salary. The relevant party sought compensation for workplace loss. The pleadings state that the dispute developed over approximately 6 months and involved an amount or claim valued at 50000 monetary units. The parties relied on agreements, records, correspondence, and other evidence. The court was requested to consider the relevant facts and evidence. The matter also concerns the documentary record submitted by the parties. Variation 91.",Employment,Employment Contract,Commercial Court,2025
2042,Ownership Dispute Matter 117,"The present case arises from a dispute involving land parcel. The matter relates to ownership dispute and involves ownership and negligence. The relevant party challenged ownership. The pleadings state that the dispute developed over approximately 48 months and involved an amount or claim valued at 150000 monetary units. The parties relied on agreements, records, correspondence, and other evidence. The dispute remained subject to judicial determination. The parties relied on supporting records during the proceedings. Variation 218.",Civil,Ownership Dispute,District Court,2018
181,Property Dispute Matter 303,"The applicant submitted a petition regarding residential property. The matter relates to property dispute and involves negligence and ownership. The relevant party challenged ownership. The pleadings state that the dispute developed over approximately 12 months and involved an amount or claim valued at 150000 monetary units. The parties relied on agreements, records, correspondence, and other evidence. The parties presented documents and statements in support of their respective positions. The claim was examined in light of the facts stated in the pleadings. Variation 464.",Civil,Property Dispute,Family Court,2021
2833,Patent Dispute Matter 2858,"The claimant brought an action relating to the company. The matter relates to patent dispute and involves trademark and licensing. The relevant party challenged patent use. The pleadings state that the dispute developed over approximately 6 months and involved an amount or claim valued at 75000 monetary units. The parties relied on agreements, records, correspondence, and other evidence. The parties presented documents and statements in support of their respective positions. The parties presented relevant documents for consideration. Variation 415.",Intellectual Property,Patent Dispute,High Court,2020
1620,Assault Matter 746,"The applicant submitted a petition regarding the accused. The matter relates to assault and involves evidence and prosecution. The relevant party faced criminal proceedings. The pleadings state that the dispute developed over approximately 36 months and involved an amount or claim valued at 500000 monetary units. The parties relied on agreements, records, correspondence, and other evidence. The dispute remained subject to judicial determination. Additional correspondence was considered as part of the dispute. Variation 107.",Criminal,Assault,Sessions Court,2022
1458,Marriage Dispute Matter 1282,"The applicant submitted a petition regarding the petitioner. The matter relates to marriage dispute and involves marriage and alimony. The relevant party filed a petition for divorce. The pleadings state that the dispute developed over approximately 24 months and involved an amount or claim valued at 100000 monetary units. The parties relied on agreements, records, correspondence, and other evidence. The dispute remained subject to judicial determination. The parties presented relevant documents for consideration. Variation 150.",Family,Marriage Dispute,Civil Court,2020
2481,Employment Contract Matter 2244,"The petitioner filed proceedings before the court concerning the employer. The matter relates to employment contract and involves dismissal and employer. The relevant party challenged termination. The pleadings state that the dispute developed over approximately 18 months and involved an amount or claim valued at 75000 monetary units. The parties relied on agreements, records, correspondence, and other evidence. The pleadings set out the circumstances giving rise to the claim. The matter also concerns the documentary record submitted by the parties. Variation 371.",Employment,Employment Contract,District Court,2025
960,Trademark Infringement Matter 2562,"The applicant submitted a petition regarding the patent owner. The matter relates to trademark infringement and involves trademark and rights holder. The relevant party claimed copyright ownership. The pleadings state that the dispute developed over approximately 18 months and involved an amount or claim valued at 75000 monetary units. The parties relied on agreements, records, correspondence, and other evidence. The court was requested to consider the relevant facts and evidence. The matter also concerns the documentary record submitted by the parties. Variation 326.",Intellectual Property,Trademark Infringement,Sessions Court,2023
670,Partnership Dispute Matter 1757,"The claimant brought an action relating to the business partner. The matter relates to partnership dispute and involves business and transaction. The relevant party disputed a business transaction. The pleadings state that the dispute developed over approximately 36 months and involved an amount or claim valued at 25000 monetary units. The parties relied on agreements, records, correspondence, and other evidence. The parties presented documents and statements in support of their respective positions. The parties relied on supporting records during the proceedings. Variation 273.",Commercial,Partnership Dispute,District Court,2019
225,Divorce Matter 1312,"The applicant submitted a petition regarding the parents. The matter relates to divorce and involves guardianship and custody. The relevant party filed a petition for divorce. The pleadings state that the dispute developed over approximately 18 months and involved an amount or claim valued at 150000 monetary units. The parties relied on agreements, records, correspondence, and other evidence. The court was requested to consider the relevant facts and evidence. The parties relied on supporting records during the proceedings. Variation 363.",Civil,Divorce,Civil Court,2020
2808,Trademark Infringement Matter 2653,"The applicant submitted a petition regarding the trademark proprietor. The matter relates to trademark infringement and involves patent and licensing. The relevant party sought an injunction against unauthorized use. The pleadings state that the dispute developed over approximately 12 months and involved an amount or claim valued at 25000 monetary units. The parties relied on agreements, records, correspondence, and other evidence. The dispute remained subject to judicial determination. The claim was examined in light of the facts stated in the pleadings. Variation 389.",Intellectual Property,Trademark Infringement,High Court,2019
2335,Ownership Dispute Matter 302,"The present case arises from a dispute involving sale agreement. The matter relates to ownership dispute and involves compensation and ownership. The relevant party challenged ownership. The pleadings state that the dispute developed over approximately 6 months and involved an amount or claim valued at 75000 monetary units. The parties relied on agreements, records, correspondence, and other evidence. The pleadings set out the circumstances giving rise to the claim. The parties presented relevant documents for consideration. Variation 385.",Civil,Ownership Dispute,Civil Court,2019
2486,Trade Dispute Matter 1812,"The applicant submitted a petition regarding the company. The matter relates to trade dispute and involves company and commercial agreement. The relevant party disputed a business transaction. The pleadings state that the dispute developed over approximately 24 months and involved an amount or claim valued at 25000 monetary units. The parties relied on agreements, records, correspondence, and other evidence. The record included correspondence and other supporting material. Additional correspondence was considered as part of the dispute. Variation 262.",Commercial,Trade Dispute,Sessions Court,2023
1206,Salary Dispute Matter 2490,"The present case arises from a dispute involving the employer. The matter relates to salary dispute and involves employment and termination. The relevant party sought compensation for workplace loss. The pleadings state that the dispute developed over approximately 18 months and involved an amount or claim valued at 75000 monetary units. The parties relied on agreements, records, correspondence, and other evidence. The record included correspondence and other supporting material. The matter also concerns the documentary record submitted by the parties. Variation 251.",Commercial,Salary Dispute,District Court,2023
569,Divorce Matter 1134,"The present case arises from a dispute involving the respondent. The matter relates to divorce and involves divorce and alimony. The relevant party sought guardianship. The pleadings state that the dispute developed over approximately 18 months and involved an amount or claim valued at 25000 monetary units. The parties relied on agreements, records, correspondence, and other evidence. The court was requested to consider the relevant facts and evidence. The parties presented relevant documents for consideration. Variation 215.",Employment,Divorce,District Court,2023
363,Commercial Contract Matter 1651,"The present case arises from a dispute involving the company. The matter relates to commercial contract and involves transaction and payment. The relevant party challenged a partnership obligation. The pleadings state that the dispute developed over approximately 6 months and involved an amount or claim valued at 250000 monetary units. The parties relied on agreements, records, correspondence, and other evidence. The parties presented documents and statements in support of their respective positions. The parties relied on supporting records during the proceedings. Variation 323.",Commercial,Commercial Contract,District Court,2018
2295,Trade Dispute Matter 1705,"The claimant brought an action relating to the business partner. The matter relates to trade dispute and involves business and transaction. The relevant party disputed a business transaction. The pleadings state that the dispute developed over approximately 6 months and involved an amount or claim valued at 50000 monetary units. The parties relied on agreements, records, correspondence, and other evidence. The record included correspondence and other supporting material. The parties relied on supporting records during the proceedings. Variation 563.",Civil,Trade Dispute,Commercial Court,2018
1529,Trade Dispute Matter 1540,"The parties entered into proceedings concerning the business partner. The matter relates to trade dispute and involves partnership and company. The relevant party alleged breach of a commercial agreement. The pleadings state that the dispute developed over approximately 12 months and involved an amount or claim valued at 25000 monetary units. The parties relied on agreements, records, correspondence, and other evidence. The court was requested to consider the relevant facts and evidence. Additional correspondence was considered as part of the dispute. Variation 122.",Civil,Trade Dispute,Family Court,2023
378,Marriage Dispute Matter 1272,"The applicant submitted a petition regarding the petitioner. The matter relates to marriage dispute and involves marriage and maintenance. The relevant party filed a petition for divorce. The pleadings state that the dispute developed over approximately 12 months and involved an amount or claim valued at 25000 monetary units. The parties relied on agreements, records, correspondence, and other evidence. The record included correspondence and other supporting material. The parties relied on supporting records during the proceedings. Variation 463.",Employment,Marriage Dispute,Sessions Court,2022
1369,Business Dispute Matter 1520,"The applicant submitted a petition regarding the respondent company. The matter relates to business dispute and involves partnership and contract. The relevant party claimed payment under a contract. The pleadings state that the dispute developed over approximately 36 months and involved an amount or claim valued at 100000 monetary units. The parties relied on agreements, records, correspondence, and other evidence. The record included correspondence and other supporting material. Additional correspondence was considered as part of the dispute. Variation 327.",Commercial,Business Dispute,Civil Court,2020
848,Maintenance Matter 1332,"The petitioner filed proceedings before the court concerning the parents. The matter relates to maintenance and involves alimony and guardianship. The relevant party challenged the marriage claim. The pleadings state that the dispute developed over approximately 6 months and involved an amount or claim valued at 50000 monetary units. The parties relied on agreements, records, correspondence, and other evidence. The dispute remained subject to judicial determination. Additional correspondence was considered as part of the dispute. Variation 147.",Family,Maintenance,Civil Court,2025
1574,Divorce Matter 1463,"The present case arises from a dispute involving the respondent. The matter relates to divorce and involves divorce and alimony. The relevant party requested maintenance. The pleadings state that the dispute developed over approximately 36 months and involved an amount or claim valued at 500000 monetary units. The parties relied on agreements, records, correspondence, and other evidence. The court was requested to consider the relevant facts and evidence. The claim was examined in light of the facts stated in the pleadings. Variation 144.",Family,Divorce,Commercial Court,2023
1364,Copyright Claim Matter 2998,"The present case arises from a dispute involving the rights holder. The matter relates to copyright claim and involves infringement and intellectual property. The relevant party claimed copyright ownership. The pleadings state that the dispute developed over approximately 36 months and involved an amount or claim valued at 75000 monetary units. The parties relied on agreements, records, correspondence, and other evidence. The record included correspondence and other supporting material. The matter also concerns the documentary record submitted by the parties. Variation 466.",Family,Copyright Claim,Commercial Court,2024
1337,Copyright Claim Matter 2931,"The claimant brought an action relating to the rights holder. The matter relates to copyright claim and involves rights holder and copyright. The relevant party challenged patent use. The pleadings state that the dispute developed over approximately 36 months and involved an amount or claim valued at 75000 monetary units. The parties relied on agreements, records, correspondence, and other evidence. The record included correspondence and other supporting material. The parties relied on supporting records during the proceedings. Variation 208.",Intellectual Property,Copyright Claim,Family Court,2019
1707,Assault Matter 762,"The parties entered into proceedings concerning the accused. The matter relates to assault and involves criminal proceedings and offence. The relevant party faced criminal proceedings. The pleadings state that the dispute developed over approximately 48 months and involved an amount or claim valued at 75000 monetary units. The parties relied on agreements, records, correspondence, and other evidence. The dispute remained subject to judicial determination. The parties relied on supporting records during the proceedings. Variation 138.",Criminal,Assault,Civil Court,2022
1531,Guardianship Matter 1477,"The petitioner filed proceedings before the court concerning the petitioner. The matter relates to guardianship and involves marriage and family relationship. The relevant party requested maintenance. The pleadings state that the dispute developed over approximately 48 months and involved an amount or claim valued at 50000 monetary units. The parties relied on agreements, records, correspondence, and other evidence. The pleadings set out the circumstances giving rise to the claim. The claim was examined in light of the facts stated in the pleadings. Variation 114.",Family,Guardianship,Family Court,2022
1476,Company Claim Matter 1910,"The applicant submitted a petition regarding the supplier. The matter relates to company claim and involves partnership and commercial agreement. The relevant party sought commercial damages. The pleadings state that the dispute developed over approximately 24 months and involved an amount or claim valued at 50000 monetary units. The parties relied on agreements, records, correspondence, and other evidence. The pleadings set out the circumstances giving rise to the claim. The parties relied on supporting records during the proceedings. Variation 338.",Commercial,Company Claim,Family Court,2025
1969,Partnership Dispute Matter 1551,"The applicant submitted a petition regarding the purchaser. The matter relates to partnership dispute and involves payment and contract. The relevant party claimed payment under a contract. The pleadings state that the dispute developed over approximately 6 months and involved an amount or claim valued at 50000 monetary units. The parties relied on agreements, records, correspondence, and other evidence. The court was requested to consider the relevant facts and evidence. The parties relied on supporting records during the proceedings. Variation 478.",Employment,Partnership Dispute,Commercial Court,2018
1203,Guardianship Matter 1209,"The petitioner filed proceedings before the court concerning the respondent. The matter relates to guardianship and involves divorce and guardianship. The relevant party challenged the marriage claim. The pleadings state that the dispute developed over approximately 6 months and involved an amount or claim valued at 25000 monetary units. The parties relied on agreements, records, correspondence, and other evidence. The parties presented documents and statements in support of their respective positions. The parties presented relevant documents for consideration. Variation 190.",Family,Guardianship,District Court,2021
638,Negligence Claim Matter 54,"The petitioner filed proceedings before the court concerning commercial premises. The matter relates to negligence claim and involves possession and ownership. The relevant party sought compensation. The pleadings state that the dispute developed over approximately 24 months and involved an amount or claim valued at 100000 monetary units. The parties relied on agreements, records, correspondence, and other evidence. The parties presented documents and statements in support of their respective positions. The claim was examined in light of the facts stated in the pleadings. Variation 574.",Intellectual Property,Negligence Claim,Sessions Court,2019
808,Negligence Claim Matter 353,"The applicant submitted a petition regarding construction project. The matter relates to negligence claim and involves damages and ownership. The relevant party filed a civil claim. The pleadings state that the dispute developed over approximately 12 months and involved an amount or claim valued at 25000 monetary units. The parties relied on agreements, records, correspondence, and other evidence. The pleadings set out the circumstances giving rise to the claim. The claim was examined in light of the facts stated in the pleadings. Variation 354.",Civil,Negligence Claim,Family Court,2022
2985,Employment Contract Matter 2091,"The parties entered into proceedings concerning the claimant. The matter relates to employment contract and involves employee and salary. The relevant party alleged wrongful dismissal. The pleadings state that the dispute developed over approximately 36 months and involved an amount or claim valued at 25000 monetary units. The parties relied on agreements, records, correspondence, and other evidence. The record included correspondence and other supporting material. Additional correspondence was considered as part of the dispute. Variation 262.",Employment,Employment Contract,Civil Court,2025
837,Property Dispute Matter 346,"The petitioner filed proceedings before the court concerning sale agreement. The matter relates to property dispute and involves breach and damages. The relevant party alleged breach of agreement. The pleadings state that the dispute developed over approximately 12 months and involved an amount or claim valued at 75000 monetary units. The parties relied on agreements, records, correspondence, and other evidence. The pleadings set out the circumstances giving rise to the claim. The parties presented relevant documents for consideration. Variation 70.",Civil,Property Dispute,Commercial Court,2020
1521,Divorce Matter 1326,"The petitioner filed proceedings before the court concerning the parents. The matter relates to divorce and involves family relationship and alimony. The relevant party requested maintenance. The pleadings state that the dispute developed over approximately 36 months and involved an amount or claim valued at 75000 monetary units. The parties relied on agreements, records, correspondence, and other evidence. The court was requested to consider the relevant facts and evidence. The parties relied on supporting records during the proceedings. Variation 483.",Family,Divorce,Commercial Court,2021
1135,Company Claim Matter 1868,"The petitioner filed proceedings before the court concerning the business partner. The matter relates to company claim and involves commercial agreement and transaction. The relevant party claimed payment under a contract. The pleadings state that the dispute developed over approximately 48 months and involved an amount or claim valued at 250000 monetary units. The parties relied on agreements, records, correspondence, and other evidence. The court was requested to consider the relevant facts and evidence. The parties relied on supporting records during the proceedings. Variation 208.",Commercial,Company Claim,Civil Court,2018
2732,Employment Contract Matter 2012,"The matter before the court concerns the employee. The matter relates to employment contract and involves employer and salary. The relevant party claimed unpaid salary. The pleadings state that the dispute developed over approximately 18 months and involved an amount or claim valued at 150000 monetary units. The parties relied on agreements, records, correspondence, and other evidence. The court was requested to consider the relevant facts and evidence. The matter also concerns the documentary record submitted by the parties. Variation 126.",Employment,Employment Contract,Sessions Court,2025
276,Guardianship Matter 1276,"The claimant brought an action relating to the child. The matter relates to guardianship and involves divorce and custody. The relevant party challenged the marriage claim. The pleadings state that the dispute developed over approximately 6 months and involved an amount or claim valued at 150000 monetary units. The parties relied on agreements, records, correspondence, and other evidence. The pleadings set out the circumstances giving rise to the claim. Additional correspondence was considered as part of the dispute. Variation 57.",Family,Guardianship,High Court,2024
2971,Guardianship Matter 1137,"The claimant brought an action relating to the respondent. The matter relates to guardianship and involves marriage and custody. The relevant party filed a petition for divorce. The pleadings state that the dispute developed over approximately 12 months and involved an amount or claim valued at 250000 monetary units. The parties relied on agreements, records, correspondence, and other evidence. The pleadings set out the circumstances giving rise to the claim. The parties relied on supporting records during the proceedings. Variation 33.",Family,Guardianship,District Court,2019
593,Trademark Infringement Matter 2969,"The parties entered into proceedings concerning the rights holder. The matter relates to trademark infringement and involves intellectual property and patent. The relevant party alleged trademark infringement. The pleadings state that the dispute developed over approximately 36 months and involved an amount or claim valued at 25000 monetary units. The parties relied on agreements, records, correspondence, and other evidence. The court was requested to consider the relevant facts and evidence. The parties relied on supporting records during the proceedings. Variation 78.",Commercial,Trademark Infringement,Commercial Court,2021
122,Maintenance Matter 1178,"The parties entered into proceedings concerning the petitioner. The matter relates to maintenance and involves alimony and divorce. The relevant party sought child custody. The pleadings state that the dispute developed over approximately 18 months and involved an amount or claim valued at 50000 monetary units. The parties relied on agreements, records, correspondence, and other evidence. The court was requested to consider the relevant facts and evidence. Additional correspondence was considered as part of the dispute. Variation 267.",Intellectual Property,Maintenance,Commercial Court,2020
2490,Marriage Dispute Matter 1484,"The matter before the court concerns the spouse... The matter relates to marriage dispute and involves divorce and family relationship... The relevant party sought child custody... The pleadings state that the dispute developed over approximately 6 months and involved an amount or claim valued at 25000 monetary units... The parties relied on agreements, records, correspondence, and other evidence... The parties presented documents and statements in support of their respective positions... The claim was examined in light of the facts stated in the pleadings... Variation 499...  (Ref#00219)",Family,Marriage Dispute,District Court,2024
2533,Commercial Contract Matter 1878,"The parties entered into proceedings concerning the respondent company. The matter relates to commercial contract and involves partnership and commercial agreement. The relevant party alleged breach of a commercial agreement. The pleadings state that the dispute developed over approximately 18 months and involved an amount or claim valued at 500000 monetary units. The parties relied on agreements, records, correspondence, and other evidence. The record included correspondence and other supporting material. The parties relied on supporting records during the proceedings. Variation 223.",Employment,Commercial Contract,Family Court,2019
2681,Trademark Infringement Matter 2623,"The applicant submitted a petition regarding the applicant. The matter relates to trademark infringement and involves licensing and rights holder. The relevant party challenged patent use. The pleadings state that the dispute developed over approximately 12 months and involved an amount or claim valued at 50000 monetary units. The parties relied on agreements, records, correspondence, and other evidence. The parties presented documents and statements in support of their respective positions. The matter also concerns the documentary record submitted by the parties. Variation 226.",Intellectual Property,Trademark Infringement,Commercial Court,2019
486,Wrongful Termination Matter 2118,"The matter before the court concerns the management. The matter relates to wrongful termination and involves employer and dismissal. The relevant party alleged wrongful dismissal. The pleadings state that the dispute developed over approximately 12 months and involved an amount or claim valued at 75000 monetary units. The parties relied on agreements, records, correspondence, and other evidence. The pleadings set out the circumstances giving rise to the claim. Additional correspondence was considered as part of the dispute. Variation 312.",Employment,Wrongful Termination,Civil Court,2021
1184,Trademark Infringement Matter 2908,"The matter before the court concerns the applicant. The matter relates to trademark infringement and involves rights holder and infringement. The relevant party alleged trademark infringement. The pleadings state that the dispute developed over approximately 18 months and involved an amount or claim valued at 100000 monetary units. The parties relied on agreements, records, correspondence, and other evidence. The parties presented documents and statements in support of their respective positions. The matter also concerns the documentary record submitted by the parties. Variation 146.",Intellectual Property,Trademark Infringement,Family Court,2024
2855,Negligence Claim Matter 83,"The parties entered into proceedings concerning commercial premises. The matter relates to negligence claim and involves ownership and negligence. The relevant party challenged ownership. The pleadings state that the dispute developed over approximately 36 months and involved an amount or claim valued at 25000 monetary units. The parties relied on agreements, records, correspondence, and other evidence. The parties presented documents and statements in support of their respective positions. The matter also concerns the documentary record submitted by the parties. Variation 96.",Civil,Negligence Claim,Civil Court,2018
770,Employment Contract Matter 2445,"The parties entered into proceedings concerning the employee. The matter relates to employment contract and involves employee and employer. The relevant party challenged termination. The pleadings state that the dispute developed over approximately 6 months and involved an amount or claim valued at 100000 monetary units. The parties relied on agreements, records, correspondence, and other evidence. The parties presented documents and statements in support of their respective positions. The parties relied on supporting records during the proceedings. Variation 163.",Employment,Employment Contract,Commercial Court,2020
1948,Employment Contract Matter 2351,"The petitioner filed proceedings before the court concerning the claimant. The matter relates to employment contract and involves employer and termination. The relevant party sought compensation for workplace loss. The pleadings state that the dispute developed over approximately 24 months and involved an amount or claim valued at 150000 monetary units. The parties relied on agreements, records, correspondence, and other evidence. The dispute remained subject to judicial determination. Additional correspondence was considered as part of the dispute. Variation 212.",Employment,Employment Contract,High Court,2025
